Id,Name,Specialization,Appointment1,Appointment2,Appointment3,Appointment4,Appointment5,Appointment6,Appointment7,Password
61230012,Dr.Virkumar Pawar,Dermatologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230013,Dr.Saurav Satpute,Opthalmology(Eye specialist),SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230014,Dr.Atharv Gurav,General Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230015,Dr.Mohit Bobade,Dentist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230016,Dr.Pratyush Doshi,Psychiatrist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230017,Dr.Abhinav Joshi,Urologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230018,Dr.Shantanu Mundhe,Neurologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230019,Dr.Ashutosh Singh,Opthalmology(Eye specialist),SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230020,Dr.Aditya Chavan,Dentist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230021,Dr.Mahesh Shindekar,Urologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230022,Dr.Mamta Yadav,Obtretrics  and Gynecology Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230023,ramaknt,nurse,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
